no	spindle	upper_bound	lower_bound	tool_no	alert
1	7.665082734	7.665082734	7.665082734	1	No
2	7.452047098	7.859842802	7.25728703	1	No
3	5.541212547	10.19418455	3.578043704	1	No
4	6.349775179	9.160626388	3.734730162	1	No
5	4.906556615	7.645134039	3.553228855	1	No
6	8.237604372	11.22275851	1.773198933	1	No
7	5.639348431	11.21210197	1.310237647	1	No
8	4.296798263	11.72458302	0.391251021	1	No
9	6.746635771	9.030841998	2.09101298	1	No
10	3.965579925	9.299620535	0.706388772	1	No
11	20.1774799	34.81723801	-14.22410761	1	No
12	20.67882372	41.83324306	-11.95198736	1	No
13	4.503576071	41.13434677	-10.89442698	1	No
14	4.072345875	36.52469533	-17.02153155	1	No
15	3.209741547	5.791903985	2.06520501	1	No
16	3.125895533	4.951166434	1.98748887	1	No
17	3.41181915	3.664872859	2.833431295	1	No
18	3.809700618	4.420495815	2.477781053	1	No
19	3.31066164	4.256901741	2.764552531	1	No
20	3.10493899	4.433487024	2.383380474	1	No
21	2.983448334	3.600848678	2.665183964	1	No
22	43.2552	82.1123856	-49.21666072	1	No
23	2.431895969	7.665082734	7.665082734	1	Yes
24	2.457245796	7.859842802	7.25728703	1	Yes
25	2.479745093	10.19418455	3.578043704	1	Yes
26	2.483546831	9.160626388	3.734730162	1	Yes
27	2.472292936	7.645134039	3.553228855	1	Yes
28	2.517057982	11.22275851	1.773198933	1	No
29	2.553357284	11.21210197	1.310237647	1	No
30	2.549597579	11.72458302	0.391251021	1	No
31	2.476568683	9.030841998	2.09101298	1	No
32	2.483219644	9.299620535	0.706388772	1	No
33	19.00096615	34.81723801	-14.22410761	1	No
34	19.41514905	41.83324306	-11.95198736	1	No
35	2.487663636	41.13434677	-10.89442698	1	No
36	2.481790106	36.52469533	-17.02153155	1	No
37	2.524299247	5.791903985	2.06520501	1	No
38	2.524786189	4.951166434	1.98748887	1	No
39	2.512101642	3.664872859	2.833431295	1	Yes
40	2.474929697	4.420495815	2.477781053	1	Yes
41	2.523220745	4.256901741	2.764552531	1	Yes
42	2.570903512	4.433487024	2.383380474	1	No
43	2.546958119	3.600848678	2.665183964	1	Yes
44	51.697056	82.1123856	-49.21666072	1	No
45	22.51788035	22.51788035	22.51788035	2	No
46	20.36172938	24.48906282	18.39054691	2	No
47	16.04870773	28.95951993	10.32602505	2	No
48	15.62947767	24.75583217	9.937444349	2	No
49	17.05909575	18.32436429	14.16715647	2	No
50	19.04850309	22.10247907	12.38890526	2	No
51	16.5533082	21.28450871	13.82276265	2	No
52	15.52469495	22.16743512	11.91690237	2	No
53	14.91724167	18.00424339	13.32591982	2	No
54	48.537872	80.73966065	-28.0864549	2	No
55	12.43831818	22.51788035	22.51788035	2	Yes
56	12.40895053	24.48906282	18.39054691	2	Yes
57	12.62149623	28.95951993	10.32602505	2	No
58	12.62393094	24.75583217	9.937444349	2	No
59	12.56050821	18.32436429	14.16715647	2	Yes
60	12.37464849	22.10247907	12.38890526	2	Yes
61	12.61610372	21.28450871	13.82276265	2	Yes
62	12.85451756	22.16743512	11.91690237	2	No
63	12.73479059	18.00424339	13.32591982	2	Yes
64	33.782376	80.73966065	-28.0864549	2	No